Sale Id,Order Id,Customer Id,Sale Date,Payment Method,Transaction Amount,Discount Applied,Tax Amount,Return Status,Return Date,Sales Channel,Sales Representative,Order Region
S759276456,75927,19480,2018-01-28 08:15:00,PayPal,109.25,27.31,8.74,No,,In-Store,Rep-957,South Asia
S759275110,75927,19480,2018-02-12 08:15:00,Cash,109.25,27.31,8.74,Yes,2018-03-01 08:15:00,Wholesale,Rep-796,South Asia
S759263480,75926,19479,2018-01-23 07:54:00,Cash,109.25,0.0,8.74,Yes,2018-02-01 07:54:00,Wholesale,Rep-632,South Asia
S759269036,75926,19479,2018-01-28 07:54:00,Cash,109.25,0.0,8.74,Yes,2018-02-22 07:54:00,In-Store,Rep-450,South Asia
S759261528,75926,19479,2018-01-30 07:54:00,Credit Card,109.25,0.0,8.74,No,,Wholesale,Rep-423,South Asia
S759251231,75925,19478,2018-02-01 07:33:00,Bank Transfer,163.88,1.64,13.11,Yes,2018-02-27 07:33:00,Wholesale,Rep-729,South Asia
S759258151,75925,19478,2018-01-27 07:33:00,Credit Card,163.88,1.64,13.11,No,,Wholesale,Rep-565,South Asia
S759244542,75924,19477,2018-01-25 07:12:00,Cash,81.94,1.64,6.56,No,,Online,Rep-160,Eastern Asia
S759245442,75924,19477,2018-01-23 07:12:00,Bank Transfer,81.94,1.64,6.56,Yes,2018-01-30 07:12:00,In-Store,Rep-150,Eastern Asia
S759244111,75924,19477,2018-02-06 07:12:00,Cash,81.94,1.64,6.56,No,,Online,Rep-491,Eastern Asia
S759247935,75924,19477,2018-01-28 07:12:00,PayPal,81.94,1.64,6.56,Yes,2018-02-08 07:12:00,Wholesale,Rep-757,Eastern Asia
S759231369,75923,19476,2018-02-07 06:51:00,PayPal,81.94,2.46,6.56,Yes,2018-02-13 06:51:00,In-Store,Rep-593,South Asia
S759238102,75923,19476,2018-01-21 06:51:00,Bank Transfer,81.94,2.46,6.56,Yes,2018-02-08 06:51:00,In-Store,Rep-255,South Asia
S759239248,75923,19476,2018-02-03 06:51:00,PayPal,81.94,2.46,6.56,Yes,2018-02-08 06:51:00,Wholesale,Rep-356,South Asia
S759232756,75923,19476,2018-01-19 06:51:00,PayPal,81.94,2.46,6.56,Yes,2018-02-17 06:51:00,Online,Rep-524,South Asia
S759221166,75922,19475,2018-02-03 06:30:00,PayPal,81.94,3.28,6.56,Yes,2018-02-19 06:30:00,Online,Rep-215,South Asia
S759222133,75922,19475,2018-02-02 06:30:00,PayPal,81.94,3.28,6.56,No,,In-Store,Rep-939,South Asia
S759228042,75922,19475,2018-01-16 06:30:00,Bank Transfer,81.94,3.28,6.56,Yes,2018-02-14 06:30:00,In-Store,Rep-639,South Asia
S759223090,75922,19475,2018-01-28 06:30:00,Credit Card,81.94,3.28,6.56,No,,Online,Rep-800,South Asia
S759217511,75921,19474,2018-02-03 06:09:00,Bank Transfer,65.55,3.28,5.24,No,,Online,Rep-688,South Asia
S759212339,75921,19474,2018-01-30 06:09:00,Bank Transfer,65.55,3.28,5.24,Yes,2018-02-07 06:09:00,In-Store,Rep-932,South Asia
S759214616,75921,19474,2018-01-31 06:09:00,PayPal,65.55,3.28,5.24,Yes,2018-02-27 06:09:00,Online,Rep-434,South Asia
S759213048,75921,19474,2018-02-12 06:09:00,PayPal,65.55,3.28,5.24,No,,Wholesale,Rep-277,South Asia
S759218806,75921,19474,2018-01-22 06:09:00,Credit Card,65.55,3.28,5.24,No,,Wholesale,Rep-924,South Asia
S759208148,75920,19473,2018-02-02 05:48:00,Credit Card,163.88,9.02,13.11,No,,Wholesale,Rep-706,South Asia
S759206190,75920,19473,2018-01-21 05:48:00,Credit Card,163.88,9.02,13.11,Yes,2018-02-02 05:48:00,In-Store,Rep-767,South Asia
S759193174,75919,19472,2018-01-22 05:27:00,Cash,65.55,4.59,5.24,No,,In-Store,Rep-184,South Asia
S759194167,75919,19472,2018-01-19 05:27:00,Credit Card,65.55,4.59,5.24,Yes,2018-01-26 05:27:00,Wholesale,Rep-389,South Asia
S759192455,75919,19472,2018-02-09 05:27:00,Bank Transfer,65.55,4.59,5.24,No,,Online,Rep-333,South Asia
S759197184,75919,19472,2018-01-23 05:27:00,PayPal,65.55,4.59,5.24,Yes,2018-02-11 05:27:00,Wholesale,Rep-356,South Asia
S759195638,75919,19472,2018-02-12 05:27:00,Credit Card,65.55,4.59,5.24,No,,Online,Rep-747,South Asia
S759188051,75918,19471,2018-01-22 05:06:00,Cash,163.88,14.75,13.11,No,,Online,Rep-488,Oceania
S759183716,75918,19471,2018-02-03 05:06:00,Cash,163.88,14.75,13.11,Yes,2018-02-15 05:06:00,In-Store,Rep-355,Oceania
S759177675,75917,19470,2018-02-11 04:45:00,PayPal,81.94,8.19,6.56,Yes,2018-03-09 04:45:00,Online,Rep-794,Oceania
S759176666,75917,19470,2018-02-01 04:45:00,Cash,81.94,8.19,6.56,No,,In-Store,Rep-222,Oceania
S759172593,75917,19470,2018-01-18 04:45:00,Bank Transfer,81.94,8.19,6.56,No,,In-Store,Rep-272,Oceania
S759173583,75917,19470,2018-01-15 04:45:00,Credit Card,81.94,8.19,6.56,No,,In-Store,Rep-734,Oceania
S759167363,75916,19469,2018-01-17 04:24:00,Credit Card,327.75,39.33,26.22,Yes,2018-01-25 04:24:00,Online,Rep-836,Oceania
S759154677,75915,19468,2018-02-09 04:03:00,Bank Transfer,65.55,8.52,5.24,Yes,2018-03-03 04:03:00,Wholesale,Rep-633,Oceania
S759159433,75915,19468,2018-01-26 04:03:00,PayPal,65.55,8.52,5.24,No,,Online,Rep-383,Oceania
S759156241,75915,19468,2018-02-04 04:03:00,PayPal,65.55,8.52,5.24,No,,Online,Rep-617,Oceania
S759159649,75915,19468,2018-01-24 04:03:00,Bank Transfer,65.55,8.52,5.24,Yes,2018-01-31 04:03:00,Online,Rep-605,Oceania
S759151236,75915,19468,2018-02-06 04:03:00,PayPal,65.55,8.52,5.24,Yes,2018-02-14 04:03:00,Online,Rep-701,Oceania
S759145131,75914,19467,2018-01-18 03:42:00,PayPal,81.94,12.29,6.56,No,,In-Store,Rep-629,Oceania
S759148286,75914,19467,2018-02-03 03:42:00,PayPal,81.94,12.29,6.56,No,,Wholesale,Rep-396,Oceania
S759143064,75914,19467,2018-01-26 03:42:00,PayPal,81.94,12.29,6.56,Yes,2018-02-09 03:42:00,Online,Rep-795,Oceania
S759146278,75914,19467,2018-01-26 03:42:00,Bank Transfer,81.94,12.29,6.56,No,,Online,Rep-933,Oceania
S759131981,75913,19466,2018-01-15 03:21:00,Credit Card,81.94,13.11,6.56,No,,Wholesale,Rep-167,Eastern Asia
S759137240,75913,19466,2018-02-11 03:21:00,Cash,81.94,13.11,6.56,Yes,2018-03-10 03:21:00,In-Store,Rep-352,Eastern Asia
S759139671,75913,19466,2018-01-20 03:21:00,Cash,81.94,13.11,6.56,No,,In-Store,Rep-188,Eastern Asia
S759136345,75913,19466,2018-01-14 03:21:00,Bank Transfer,81.94,13.11,6.56,Yes,2018-02-01 03:21:00,Online,Rep-604,Eastern Asia
S759126615,75912,19465,2018-01-24 03:00:00,Credit Card,163.88,27.86,13.11,No,,In-Store,Rep-399,Eastern Asia
S759125552,75912,19465,2018-01-27 03:00:00,Cash,163.88,27.86,13.11,No,,In-Store,Rep-518,Eastern Asia
S759117389,75911,19464,2018-01-28 02:39:00,PayPal,163.88,29.5,13.11,No,,In-Store,Rep-758,Eastern Asia
S759113367,75911,19464,2018-02-05 02:39:00,PayPal,163.88,29.5,13.11,No,,Wholesale,Rep-396,Eastern Asia
S759103022,75910,19463,2018-01-26 02:18:00,PayPal,327.75,65.55,26.22,Yes,2018-02-24 02:18:00,Wholesale,Rep-833,Eastern Asia
S759098521,75909,19462,2018-02-08 01:57:00,PayPal,81.94,20.49,6.56,No,,Wholesale,Rep-109,South Asia
S759099934,75909,19462,2018-02-05 01:57:00,Bank Transfer,81.94,20.49,6.56,No,,Online,Rep-410,South Asia
S759098024,75909,19462,2018-01-19 01:57:00,Cash,81.94,20.49,6.56,Yes,2018-02-15 01:57:00,Online,Rep-367,South Asia
S759093636,75909,19462,2018-01-27 01:57:00,Cash,81.94,20.49,6.56,No,,Online,Rep-414,South Asia
S759089032,75908,19461,2018-01-30 01:36:00,Credit Card,327.75,0.0,26.22,No,,Wholesale,Rep-465,South Asia
S759077245,75907,19460,2018-02-05 01:15:00,Cash,109.25,1.09,8.74,Yes,2018-02-11 01:15:00,Wholesale,Rep-967,Eastern Asia
S759078745,75907,19460,2018-02-10 01:15:00,Cash,109.25,1.09,8.74,No,,In-Store,Rep-989,Eastern Asia
S759073710,75907,19460,2018-01-14 01:15:00,Bank Transfer,109.25,1.09,8.74,Yes,2018-01-31 01:15:00,Online,Rep-920,Eastern Asia
S759066481,75906,19459,2018-01-17 00:54:00,Credit Card,327.75,6.56,26.22,No,,Online,Rep-146,Eastern Asia
S759056767,75905,19458,2018-02-07 00:33:00,Credit Card,109.25,3.28,8.74,Yes,2018-02-18 00:33:00,Online,Rep-125,Southeast Asia
S759052280,75905,19458,2018-02-09 00:33:00,Bank Transfer,109.25,3.28,8.74,No,,Wholesale,Rep-660,Southeast Asia
S759057219,75905,19458,2018-02-06 00:33:00,Cash,109.25,3.28,8.74,Yes,2018-03-02 00:33:00,In-Store,Rep-674,Southeast Asia
S759046745,75904,19457,2018-01-24 00:12:00,PayPal,109.25,4.37,8.74,No,,Wholesale,Rep-447,South Asia
S759044669,75904,19457,2018-02-04 00:12:00,Cash,109.25,4.37,8.74,No,,Online,Rep-739,South Asia
S759049181,75904,19457,2018-02-02 00:12:00,Bank Transfer,109.25,4.37,8.74,No,,Wholesale,Rep-793,South Asia
S759033408,75903,19456,2018-01-30 23:51:00,PayPal,81.94,4.1,6.56,Yes,2018-02-18 23:51:00,Wholesale,Rep-781,Oceania
S759036264,75903,19456,2018-01-15 23:51:00,Bank Transfer,81.94,4.1,6.56,No,,Wholesale,Rep-903,Oceania
S759038604,75903,19456,2018-02-03 23:51:00,Cash,81.94,4.1,6.56,Yes,2018-02-14 23:51:00,Online,Rep-854,Oceania
S759039655,75903,19456,2018-02-08 23:51:00,Cash,81.94,4.1,6.56,Yes,2018-02-14 23:51:00,In-Store,Rep-885,Oceania
S759029368,75902,19455,2018-01-23 23:30:00,Bank Transfer,65.55,3.61,5.24,No,,In-Store,Rep-636,Oceania
S759022596,75902,19455,2018-01-17 23:30:00,PayPal,65.55,3.61,5.24,Yes,2018-01-28 23:30:00,In-Store,Rep-574,Oceania
S759025145,75902,19455,2018-02-03 23:30:00,PayPal,65.55,3.61,5.24,Yes,2018-02-20 23:30:00,In-Store,Rep-847,Oceania
S759028473,75902,19455,2018-01-15 23:30:00,Credit Card,65.55,3.61,5.24,No,,Online,Rep-240,Oceania
S759029544,75902,19455,2018-02-02 23:30:00,PayPal,65.55,3.61,5.24,Yes,2018-02-12 23:30:00,In-Store,Rep-206,Oceania
S759019289,75901,19454,2018-01-28 23:09:00,PayPal,81.94,5.74,6.56,Yes,2018-02-06 23:09:00,In-Store,Rep-630,Oceania
S759015796,75901,19454,2018-01-16 23:09:00,Bank Transfer,81.94,5.74,6.56,No,,Wholesale,Rep-640,Oceania
S759013822,75901,19454,2018-01-13 23:09:00,Cash,81.94,5.74,6.56,No,,Online,Rep-703,Oceania
S759012126,75901,19454,2018-01-13 23:09:00,Bank Transfer,81.94,5.74,6.56,No,,In-Store,Rep-375,Oceania
S759005080,75900,19453,2018-01-22 22:48:00,Credit Card,163.88,14.75,13.11,Yes,2018-02-05 22:48:00,Wholesale,Rep-227,Southeast Asia
S759008940,75900,19453,2018-01-24 22:48:00,Cash,163.88,14.75,13.11,No,,In-Store,Rep-129,Southeast Asia
S758992274,75899,19452,2018-01-24 22:27:00,PayPal,81.94,8.19,6.56,Yes,2018-01-30 22:27:00,Wholesale,Rep-515,Southeast Asia
S758999268,75899,19452,2018-01-25 22:27:00,Bank Transfer,81.94,8.19,6.56,No,,Online,Rep-684,Southeast Asia
S758994960,75899,19452,2018-01-17 22:27:00,Cash,81.94,8.19,6.56,Yes,2018-02-03 22:27:00,In-Store,Rep-122,Southeast Asia
S758993022,75899,19452,2018-02-04 22:27:00,PayPal,81.94,8.19,6.56,Yes,2018-02-23 22:27:00,In-Store,Rep-651,Southeast Asia
S758982561,75898,19451,2018-02-07 22:05:00,Credit Card,163.88,19.67,13.11,No,,Online,Rep-965,Southeast Asia
S758981624,75898,19451,2018-01-29 22:05:00,Cash,163.88,19.67,13.11,No,,In-Store,Rep-248,Southeast Asia
S758971023,75897,19450,2018-02-02 21:44:00,PayPal,65.55,8.52,5.24,Yes,2018-02-13 21:44:00,In-Store,Rep-254,Southeast Asia
S758972513,75897,19450,2018-01-16 21:44:00,Bank Transfer,65.55,8.52,5.24,No,,Wholesale,Rep-123,Southeast Asia
S758972410,75897,19450,2018-01-14 21:44:00,PayPal,65.55,8.52,5.24,Yes,2018-01-30 21:44:00,In-Store,Rep-953,Southeast Asia
S758975584,75897,19450,2018-01-18 21:44:00,Cash,65.55,8.52,5.24,Yes,2018-01-25 21:44:00,Wholesale,Rep-814,Southeast Asia
S758977529,75897,19450,2018-01-17 21:44:00,Credit Card,65.55,8.52,5.24,Yes,2018-01-22 21:44:00,In-Store,Rep-419,Southeast Asia
S758967092,75896,19449,2018-01-27 21:23:00,Bank Transfer,109.25,16.39,8.74,Yes,2018-02-20 21:23:00,In-Store,Rep-412,Oceania
S758964120,75896,19449,2018-01-14 21:23:00,Credit Card,109.25,16.39,8.74,No,,Online,Rep-974,Oceania
S758961816,75896,19449,2018-01-25 21:23:00,Bank Transfer,109.25,16.39,8.74,Yes,2018-02-01 21:23:00,Wholesale,Rep-371,Oceania
S758952689,75895,19448,2018-02-01 21:02:00,PayPal,163.88,26.22,13.11,Yes,2018-02-21 21:02:00,Wholesale,Rep-386,South Asia
S758958117,75895,19448,2018-01-18 21:02:00,Bank Transfer,163.88,26.22,13.11,Yes,2018-01-29 21:02:00,In-Store,Rep-239,South Asia
S758946692,75894,19447,2018-02-04 20:41:00,Bank Transfer,163.88,27.86,13.11,Yes,2018-02-25 20:41:00,Online,Rep-416,South Asia
S758945681,75894,19447,2018-01-19 20:41:00,Credit Card,163.88,27.86,13.11,No,,In-Store,Rep-889,South Asia
S758935372,75893,19446,2018-01-23 20:20:00,Bank Transfer,109.25,19.67,8.74,Yes,2018-02-04 20:20:00,In-Store,Rep-260,Eastern Asia
S758934253,75893,19446,2018-01-14 20:20:00,PayPal,109.25,19.67,8.74,Yes,2018-02-03 20:20:00,In-Store,Rep-233,Eastern Asia
S758932072,75893,19446,2018-02-10 20:20:00,Bank Transfer,109.25,19.67,8.74,Yes,2018-02-26 20:20:00,Online,Rep-607,Eastern Asia
S287446449,28744,9083,2016-03-01 13:57:00,Credit Card,119.98,4.8,9.6,No,,Online,Rep-774,South Asia
S454611832,45461,4741,2016-11-16 14:39:00,Bank Transfer,16.0,0.16,1.28,No,,Online,Rep-437,West Asia
S454611365,45461,4741,2016-10-26 14:39:00,Cash,16.0,0.16,1.28,No,,In-Store,Rep-550,West Asia
S454613878,45461,4741,2016-11-19 14:39:00,PayPal,16.0,0.16,1.28,No,,Online,Rep-733,West Asia
S454617900,45461,4741,2016-11-08 14:39:00,Cash,16.0,0.16,1.28,Yes,2016-12-07 14:39:00,Online,Rep-546,West Asia
S454615807,45461,4741,2016-11-13 14:39:00,Bank Transfer,16.0,0.16,1.28,Yes,2016-12-01 14:39:00,Online,Rep-219,West Asia
S311151067,31115,639,2016-04-13 04:37:00,Cash,33.33,1.33,2.67,Yes,2016-04-30 04:37:00,Online,Rep-253,Oceania
S311157112,31115,639,2016-04-22 04:37:00,Credit Card,33.33,1.33,2.67,No,,Wholesale,Rep-314,Oceania
S311153641,31115,639,2016-04-07 04:37:00,PayPal,33.33,1.33,2.67,No,,Online,Rep-823,Oceania
S457661767,45766,9702,2016-11-14 01:31:00,PayPal,20.0,1.0,1.6,Yes,2016-11-27 01:31:00,In-Store,Rep-386,West Asia
S457663462,45766,9702,2016-11-03 01:31:00,Cash,20.0,1.0,1.6,No,,In-Store,Rep-561,West Asia
S457662629,45766,9702,2016-11-01 01:31:00,PayPal,20.0,1.0,1.6,No,,In-Store,Rep-314,West Asia
S457666890,45766,9702,2016-11-19 01:31:00,Bank Transfer,20.0,1.0,1.6,No,,Wholesale,Rep-578,West Asia
S477522784,47752,9114,2016-12-05 01:18:00,Cash,100.0,9.0,8.0,Yes,2016-12-20 01:18:00,In-Store,Rep-244,Eastern Asia
S500544707,50054,1362,2017-01-13 15:47:00,PayPal,20.0,2.6,1.6,No,,In-Store,Rep-626,West Asia
S500546921,50054,1362,2017-01-20 15:47:00,Credit Card,20.0,2.6,1.6,Yes,2017-02-06 15:47:00,In-Store,Rep-859,West Asia
S500544680,50054,1362,2017-01-17 15:47:00,Bank Transfer,20.0,2.6,1.6,No,,Wholesale,Rep-660,West Asia
S500546118,50054,1362,2017-01-02 15:47:00,Bank Transfer,20.0,2.6,1.6,No,,Wholesale,Rep-938,West Asia
S500547122,50054,1362,2017-01-29 15:47:00,Cash,20.0,2.6,1.6,Yes,2017-02-12 15:47:00,In-Store,Rep-974,West Asia
S203657322,20365,8011,2015-11-11 06:24:00,Bank Transfer,25.0,4.5,2.0,No,,In-Store,Rep-522,South Asia
S203655143,20365,8011,2015-11-09 06:24:00,Cash,25.0,4.5,2.0,Yes,2015-12-07 06:24:00,Online,Rep-638,South Asia
S203651165,20365,8011,2015-11-01 06:24:00,Cash,25.0,4.5,2.0,Yes,2015-11-06 06:24:00,Wholesale,Rep-182,South Asia
S203656650,20365,8011,2015-11-18 06:24:00,Credit Card,25.0,4.5,2.0,Yes,2015-12-05 06:24:00,Online,Rep-843,South Asia
S361469876,36146,3296,2016-06-20 15:12:00,Credit Card,89.98,15.3,7.2,Yes,2016-06-30 15:12:00,Online,Rep-214,West of USA 
S412342739,41234,3182,2016-09-05 21:45:00,Cash,54.97,9.9,4.4,No,,In-Store,Rep-459,West of USA 
S412347531,41234,3182,2016-08-28 21:45:00,Bank Transfer,54.97,9.9,4.4,Yes,2016-09-08 21:45:00,Wholesale,Rep-286,West of USA 
S320903060,32090,7864,2016-05-02 10:12:00,Bank Transfer,24.0,0.48,1.92,No,,Online,Rep-299,West of USA 
S320904520,32090,7864,2016-04-27 10:12:00,PayPal,24.0,0.48,1.92,No,,Wholesale,Rep-188,West of USA 
S320906493,32090,7864,2016-05-02 10:12:00,Cash,24.0,0.48,1.92,No,,Online,Rep-604,West of USA 
S320903747,32090,7864,2016-05-09 10:12:00,Bank Transfer,24.0,0.48,1.92,Yes,2016-06-08 10:12:00,In-Store,Rep-448,West of USA 
S320908441,32090,7864,2016-04-28 10:12:00,PayPal,24.0,0.48,1.92,Yes,2016-05-24 10:12:00,Online,Rep-799,West of USA 
S347735302,34773,11169,2016-05-23 14:10:00,Bank Transfer,119.98,24.0,9.6,No,,Wholesale,Rep-295,US Center 
S440466415,44046,5197,2016-10-06 22:55:00,PayPal,99.99,12.0,8.0,No,,Online,Rep-299,West Africa
S440462227,44046,5197,2016-11-01 22:55:00,Credit Card,99.99,12.0,8.0,Yes,2016-11-06 22:55:00,Wholesale,Rep-832,West Africa
S440464351,44046,5197,2016-10-13 22:55:00,Credit Card,99.99,12.0,8.0,No,,Wholesale,Rep-625,West Africa
S464142263,46414,1535,2016-11-21 12:32:00,Bank Transfer,59.99,3.0,4.8,No,,Wholesale,Rep-788,Central Africa
S464141511,46414,1535,2016-12-08 12:32:00,Cash,59.99,3.0,4.8,Yes,2017-01-05 12:32:00,Wholesale,Rep-555,Central Africa
S465996472,46599,6122,2016-11-14 05:21:00,Bank Transfer,16.49,0.5,1.32,Yes,2016-12-11 05:21:00,In-Store,Rep-840,West Africa
S465995361,46599,6122,2016-11-19 05:21:00,Credit Card,16.49,0.5,1.32,Yes,2016-12-09 05:21:00,Online,Rep-623,West Africa
S465996316,46599,6122,2016-11-16 05:21:00,Cash,16.49,0.5,1.32,No,,In-Store,Rep-715,West Africa
S465997642,46599,6122,2016-12-11 05:21:00,Cash,16.49,0.5,1.32,Yes,2016-12-29 05:21:00,Online,Rep-920,West Africa
S484345461,48434,9451,2016-12-31 00:14:00,Bank Transfer,31.99,5.44,2.56,No,,Wholesale,Rep-818,North Africa
S484344596,48434,9451,2016-12-12 00:14:00,Cash,31.99,5.44,2.56,No,,In-Store,Rep-130,North Africa
S484347724,48434,9451,2017-01-01 00:14:00,Bank Transfer,31.99,5.44,2.56,No,,Wholesale,Rep-137,North Africa
S128271244,12827,542,2015-07-12 05:31:00,Cash,59.99,1.2,4.8,Yes,2015-08-11 05:31:00,Online,Rep-247,Western Europe
S128272051,12827,542,2015-08-05 05:31:00,PayPal,59.99,1.2,4.8,No,,Wholesale,Rep-319,Western Europe
S128276619,12827,542,2015-07-22 05:31:00,Credit Card,59.99,1.2,4.8,No,,In-Store,Rep-509,Western Europe
S128278313,12827,542,2015-07-29 05:31:00,Credit Card,59.99,1.2,4.8,Yes,2015-08-25 05:31:00,Online,Rep-715,Western Europe
S128271141,12827,542,2015-08-01 05:31:00,PayPal,59.99,1.2,4.8,Yes,2015-08-30 05:31:00,Online,Rep-822,Western Europe
S639368138,63936,11329,2017-08-08 07:16:00,Cash,74.99,7.5,6.0,Yes,2017-08-21 07:16:00,In-Store,Rep-578,Western Europe
S639363500,63936,11329,2017-08-10 07:16:00,PayPal,74.99,7.5,6.0,No,,Wholesale,Rep-832,Western Europe
S639367432,63936,11329,2017-08-14 07:16:00,PayPal,74.99,7.5,6.0,Yes,2017-08-25 07:16:00,In-Store,Rep-690,Western Europe
S639368030,63936,11329,2017-08-06 07:16:00,Bank Transfer,74.99,7.5,6.0,No,,Wholesale,Rep-416,Western Europe
S650304117,65030,3570,2017-08-09 06:33:00,Credit Card,299.97,74.99,24.0,No,,Wholesale,Rep-871,Western Europe
S181086859,18108,650,2015-10-08 07:41:00,Cash,179.97,3.6,14.4,Yes,2015-10-21 07:41:00,In-Store,Rep-368,Western Europe
S625713918,62571,9353,2017-07-29 09:03:00,PayPal,44.99,3.15,3.6,Yes,2017-08-13 09:03:00,Online,Rep-507,Northern Europe
S625714227,62571,9353,2017-07-05 09:03:00,Bank Transfer,44.99,3.15,3.6,No,,In-Store,Rep-120,Northern Europe
S625718718,62571,9353,2017-07-08 09:03:00,Cash,44.99,3.15,3.6,Yes,2017-07-28 09:03:00,In-Store,Rep-937,Northern Europe
S625713788,62571,9353,2017-07-20 09:03:00,PayPal,44.99,3.15,3.6,Yes,2017-08-06 09:03:00,Online,Rep-482,Northern Europe
S171627926,17162,54,2015-09-24 12:15:00,Cash,35.99,3.24,2.88,No,,Wholesale,Rep-724,Northern Europe
S171626263,17162,54,2015-09-29 12:15:00,Credit Card,35.99,3.24,2.88,Yes,2015-10-04 12:15:00,Online,Rep-550,Northern Europe
S171621862,17162,54,2015-09-30 12:15:00,Bank Transfer,35.99,3.24,2.88,Yes,2015-10-17 12:15:00,In-Store,Rep-213,Northern Europe
S171626212,17162,54,2015-09-13 12:15:00,Credit Card,35.99,3.24,2.88,Yes,2015-10-13 12:15:00,In-Store,Rep-188,Northern Europe
