Competitor Id,Competitor Name,Market,Product Name,Category Name,Sales Volume,Revenue,Profit Margin,Customer Satisfaction,Marketing Channel,Promotion Strategy,Shipping Efficiency,Return Rate,Customer Loyalty Index,Advertising Budget,Competitor Store Type,Product Availability
24,Gamma Mart,Africa,Lawn mower,Cardio Equipment,34560,348776.61,14.24,53,PPC,Flash Sales,8.09,8.26,52,49581.08,Physical,86.21
43,Gamma Distributors,Africa,Under Armour Women's Ignite PIP VI Slide,Cameras ,29985,118086.87,7.3,75,Affiliate,Loyalty Programs,8.95,0.31,88,33620.51,Online,84.8
25,Gamma Distributors,Europe,Adult dog supplies,Basketball,11210,179720.15,23.71,74,Content Marketing,Loyalty Programs,9.96,3.27,82,24526.55,Online,78.78
26,Delta Distributors,LATAM,Titleist Pro V1 High Numbers Personalized Gol,Golf Shoes,4339,394706.13,6.35,100,Content Marketing,Flash Sales,9.28,3.14,79,33533.17,Online,97.8
22,Beta Retailers,LATAM,Glove It Women's Imperial Golf Glove,Shop By Sport,22948,92140.42,7.12,73,Social Media,Bundle Offers,2.71,1.3,86,20801.87,Physical,72.85
19,Beta Retailers,USCA,Under Armour Kids' Mercenary Slide,Baby ,13751,309431.3,23.9,58,Affiliate,Bundle Offers,6.82,0.51,97,7047.5,Online,91.47
7,Epsilon Retailers,USCA,Polar FT4 Heart Rate Monitor,Music,25613,76500.62,10.03,78,Social Media,Bundle Offers,7.75,0.94,100,33184.67,Online,77.61
14,Omega Distributors,Pacific Asia,Hirzl Men's Hybrid Golf Glove,Cardio Equipment,33061,287696.61,9.27,71,Email Marketing,Loyalty Programs,1.02,3.57,86,20343.47,Physical,70.63
32,United Market,USCA,SOLE E35 Elliptical,Health and Beauty,1206,129547.39,8.46,50,Affiliate,Loyalty Programs,6.47,6.36,81,38531.92,Physical,70.7
31,Omega Mart,USCA,First aid kit,Garden,46614,271570.32,19.17,60,Social Media,Bundle Offers,8.06,7.15,91,15657.64,Online,95.58
3,Omega Mart,Pacific Asia,Cleveland Golf Collegiate My Custom Wedge 588,Crafts,19506,293093.41,21.64,89,PPC,Bundle Offers,8.15,2.08,98,17131.39,Physical,78.49
8,Alpha Outlet,LATAM,insta-bed Neverflat Air Mattress,Cleats,17324,94352.75,9.83,100,SEO,Flash Sales,9.94,6.87,62,8982.48,Online,93.99
44,Delta Distributors,LATAM,Columbia Men's PFG Anchor Tough T-Shirt,Video Games,6189,279179.81,24.36,60,Social Media,Bundle Offers,9.88,8.56,68,11485.55,Online,74.99
26,United Traders,USCA,Merrell Men's All Out Flash Trail Running Sho,Cardio Equipment,35148,345717.37,10.64,52,PPC,Bundle Offers,2.88,3.72,92,48976.81,Hybrid,85.39
43,Delta Retailers,Pacific Asia,Elevation Training Mask 2.0,Golf Gloves,43162,391516.74,11.64,51,SEO,Discounts,2.46,4.93,86,19348.15,Online,86.11
24,Epsilon Mart,Pacific Asia,adidas Men's F10 Messi TRX FG Soccer Cleat,Fitness Accessories,11450,384923.01,9.85,55,Content Marketing,Discounts,8.03,5.98,65,49175.94,Physical,95.3
45,Epsilon Outlet,Africa,Bridgestone e6 Straight Distance NFL San Dieg,Basketball,19128,314549.42,8.01,66,Affiliate,Bundle Offers,7.18,9.31,84,29128.23,Hybrid,96.1
46,Global Outlet,Africa,O'Brien Men's Neoprene Life Vest,Kids' Golf Clubs,22835,287044.37,22.04,69,Social Media,Loyalty Programs,2.55,0.64,77,15278.49,Physical,76.68
38,Gamma Distributors,USCA,Glove It Women's Mod Oval Golf Glove,Cardio Equipment,13272,480654.82,21.04,69,Social Media,Loyalty Programs,7.83,0.81,54,42627.07,Hybrid,72.66
49,United Shop,Europe,CDs of rock,Health and Beauty,16786,143227.15,20.75,62,PPC,Loyalty Programs,2.4,7.76,61,43177.38,Online,88.41
47,Premier Outlet,Europe,Stiga Master Series ST3100 Competition Indoor,Boxing & MMA,18839,77105.79,9.2,99,Content Marketing,Discounts,4.32,3.48,65,38716.62,Physical,80.8
47,Gamma Outlet,Africa,TaylorMade Women's RBZ SL Rescue,Women's Clothing,17304,342804.74,19.93,99,PPC,,6.58,9.76,72,15606.97,Online,81.14
46,Elite Shop,Pacific Asia,Under Armour Women's Ignite Slide,Books ,3795,348123.0,8.92,82,Social Media,Discounts,5.46,0.97,99,43176.28,Physical,76.29
34,Beta Traders,Africa,Bushnell Pro X7 Jolt Slope Rangefinder,Children's Clothing,21524,470233.92,9.69,52,Content Marketing,Flash Sales,7.08,9.19,75,44575.13,Physical,91.55
12,Omega Distributors,Pacific Asia,Top Flite Women's 2014 XL Hybrid,DVDs,49108,294841.43,21.65,57,Email Marketing,,7.26,7.35,76,18416.58,Physical,70.8
2,Delta Mart,USCA,Titleist Pro V1x Golf Balls,Hockey,22771,63150.85,5.16,89,Content Marketing,Discounts,9.13,5.7,82,49833.47,Hybrid,94.32
37,Epsilon Distributors,Europe,Cleveland Golf Collegiate My Custom Wedge 588,Men's Footwear,29551,107276.26,22.87,74,SEO,Bundle Offers,3.99,5.8,67,30121.29,Physical,90.51
17,Omega Store,Pacific Asia,Under Armour Girls' Toddler Spine Surge Runni,Hunting & Shooting,43773,217858.03,16.85,97,Content Marketing,Loyalty Programs,1.59,6.65,83,34109.72,Hybrid,92.27
43,Omega Store,Europe,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Trade-In,20364,433510.46,5.87,90,Email Marketing,,7.82,1.25,85,34167.13,Hybrid,86.83
41,United Store,Africa,Under Armour Men's Compression EV SL Slide,Women's Golf Clubs,36803,307154.41,20.92,86,Email Marketing,Loyalty Programs,9.5,7.86,92,29673.11,Physical,70.69
34,Global Market,Africa,The North Face Women's Recon Backpack,Women's Clothing,17208,133025.36,24.85,78,Content Marketing,Flash Sales,6.81,1.06,72,27865.04,Online,97.87
3,United Market,LATAM,Team Golf New England Patriots Putter Grip,Trade-In,15357,226612.47,11.29,88,PPC,,1.1,8.15,59,24387.41,Hybrid,76.23
38,Delta Shop,Pacific Asia,LIJA Women's Mid-Length Panel Golf Shorts,CDs ,8071,190931.13,9.04,75,Social Media,,6.71,4.6,88,13006.71,Hybrid,78.89
37,Omega Outlet,Europe,Hirzl Women's Hybrid Golf Glove,Hunting & Shooting,36516,288651.01,21.72,59,PPC,Bundle Offers,6.38,3.38,74,21938.18,Online,96.95
46,Premier Distributors,Europe,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Golf Shoes,11962,353065.38,5.08,74,Affiliate,Bundle Offers,1.42,9.81,98,36701.82,Online,89.27
5,Delta Market,Pacific Asia,Under Armour Women's Ignite PIP VI Slide,Video Games,47804,426585.16,9.72,73,Content Marketing,Discounts,2.02,3.9,51,38347.09,Physical,78.42
46,Delta Market,LATAM,Glove It Women's Mod Oval 3-Zip Carry All Gol,Baseball & Softball,38903,277779.2,12.93,85,Affiliate,Discounts,9.07,0.38,88,33701.8,Online,85.95
35,Global Market,LATAM,Merrell Women's Siren Mid Waterproof Hiking B,Fitness Accessories,1395,184519.22,7.59,98,Email Marketing,Discounts,3.09,7.2,58,11734.3,Physical,96.86
30,Epsilon Market,Pacific Asia,Team Golf St. Louis Cardinals Putter Grip,Fitness Accessories,3691,276515.43,7.27,67,Email Marketing,Discounts,5.13,3.68,64,34282.34,Online,98.18
38,Gamma Traders,Africa,SOLE E25 Elliptical,Soccer,21059,230880.07,18.68,98,SEO,Loyalty Programs,6.08,9.87,50,11621.83,Physical,72.53
28,Global Distributors,USCA,Under Armour Hustle Storm Medium Duffle Bag,Girls' Apparel,22006,268768.64,13.17,78,SEO,Bundle Offers,2.87,4.9,53,32511.15,Hybrid,97.32
50,Gamma Retailers,USCA,Titleist Pro V1x High Numbers Personalized Go,Electronics,6884,278076.1,11.79,73,SEO,,9.76,6.26,53,40192.03,Hybrid,74.56
22,Epsilon Distributors,Africa,Toys ,Tennis & Racquet,4228,123826.09,10.1,81,Social Media,Discounts,8.99,2.48,60,12636.37,Hybrid,98.55
45,Premier Shop,LATAM,Mio ALPHA Heart Rate Monitor/Sport Watch,Health and Beauty,22586,289599.52,6.22,64,PPC,Flash Sales,8.0,0.05,99,9914.37,Online,75.31
9,United Shop,USCA,Garmin Approach S3 Golf GPS Watch,Women's Golf Clubs,33208,496044.83,11.21,62,PPC,Discounts,7.84,3.36,87,33235.1,Physical,95.2
50,Gamma Mart,Europe,Clicgear Rovic Cooler Bag,Children's Clothing,29441,164428.89,23.53,70,Content Marketing,Discounts,9.7,8.21,50,27246.89,Hybrid,81.42
6,Global Market,Pacific Asia,TYR Boys' Team Digi Jammer,Girls' Apparel,9603,395447.59,9.72,99,Affiliate,Bundle Offers,5.87,0.85,54,12820.99,Online,76.8
10,Epsilon Store,USCA,Cleveland Golf Women's 588 RTX CB Satin Chrom,Indoor/Outdoor Games,35434,80431.74,20.9,64,Affiliate,,8.88,4.76,53,5906.84,Hybrid,92.86
46,Delta Retailers,USCA,Bushnell Pro X7 Jolt Slope Rangefinder,As Seen on  TV!,17545,429080.97,5.51,55,SEO,Loyalty Programs,2.23,0.79,52,39045.06,Online,94.48
41,Beta Traders,Europe,Top Flite Women's 2014 XL Hybrid,Men's Golf Clubs,11092,158517.06,20.7,76,Content Marketing,Loyalty Programs,7.31,0.16,61,20301.04,Physical,71.22
28,United Market,Pacific Asia,ENO Atlas Hammock Straps,Lacrosse,43095,360647.82,14.48,70,Email Marketing,Flash Sales,1.98,8.44,79,49344.14,Physical,98.95
6,United Retailers,USCA,DVDs ,Tennis & Racquet,46112,316131.61,8.13,51,Social Media,Flash Sales,7.86,3.79,54,34119.84,Hybrid,79.53
34,Alpha Outlet,Africa,adidas Men's F10 Messi TRX FG Soccer Cleat,Water Sports,40130,128702.27,12.1,94,Social Media,Discounts,1.27,5.7,94,21520.03,Online,99.53
5,Beta Market,Pacific Asia,LIJA Women's Eyelet Sleeveless Golf Polo,Women's Apparel,1682,448370.0,23.94,62,Content Marketing,Bundle Offers,6.99,7.56,99,8303.11,Physical,85.71
24,Beta Store,LATAM,Nike Men's Kobe IX Elite Low Basketball Shoe,Boxing & MMA,5345,352845.89,9.39,81,Affiliate,Bundle Offers,5.02,6.22,83,40055.3,Physical,84.0
30,Alpha Outlet,Pacific Asia,Sports Books ,Camping & Hiking,36617,428376.75,24.39,74,SEO,Discounts,2.91,1.4,54,41726.87,Physical,90.05
9,Gamma Distributors,LATAM,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,Lacrosse,22672,375827.16,14.73,66,SEO,Bundle Offers,1.57,8.61,65,23353.96,Physical,94.5
45,Gamma Mart,USCA,adidas Men's Germany Black Crest Away Tee,As Seen on  TV!,18742,426987.88,12.44,67,Content Marketing,Bundle Offers,5.79,1.15,61,36922.33,Online,92.15
37,Epsilon Shop,LATAM,Glove It Women's Imperial Golf Glove,Women's Clothing,25806,383895.71,11.42,52,PPC,Loyalty Programs,3.95,0.8,55,28368.73,Hybrid,72.0
24,Delta Mart,Africa,Team Golf St. Louis Cardinals Putter Grip,Fishing,38899,272024.01,18.7,78,Social Media,,8.39,3.12,70,25374.73,Online,96.45
15,Omega Distributors,Europe,Stiga Master Series ST3100 Competition Indoor,Video Games,15233,430042.57,10.07,74,PPC,Bundle Offers,8.17,4.54,56,25648.17,Online,94.99
27,United Shop,USCA,Team Golf Tennessee Volunteers Putter Grip,Fishing,11833,90773.61,7.12,74,PPC,Flash Sales,2.69,7.62,84,21206.47,Online,80.46
2,Premier Market,Pacific Asia,Diamondback Boys' Insight 24 Performance Hybr,Crafts,2995,122121.84,13.07,97,Affiliate,Flash Sales,8.04,4.43,63,45464.41,Online,99.52
39,Gamma Distributors,Europe,Industrial consumer electronics,Golf Shoes,36943,422291.9,10.78,54,Email Marketing,Bundle Offers,9.71,3.59,68,9305.12,Online,96.79
46,United Distributors,USCA,Cleveland Golf Women's 588 RTX CB Satin Chrom,Baby ,21472,483349.21,19.09,96,SEO,Loyalty Programs,4.28,3.91,86,47662.16,Hybrid,99.74
7,Elite Market,Africa,Perfect Fitness Perfect Rip Deck,Girls' Apparel,6174,233245.5,23.07,93,Content Marketing,Bundle Offers,3.82,7.37,73,13991.86,Online,74.63
6,United Distributors,USCA,Dell Laptop,Fishing,35392,393268.0,15.93,58,SEO,Discounts,5.92,9.87,84,29395.76,Physical,84.85
32,Beta Shop,Europe,Under Armour Men's Tech II T-Shirt,Golf Apparel,47678,348850.23,20.23,98,Content Marketing,Flash Sales,6.34,3.06,52,29676.6,Physical,71.79
41,Elite Market,LATAM,Glove It Imperial Golf Towel,Pet Supplies,12336,379081.11,24.27,74,Social Media,Discounts,2.35,0.82,58,17436.29,Physical,94.21
46,Beta Distributors,Europe,Smart watch ,Women's Clothing,30365,296518.07,23.6,60,Email Marketing,Loyalty Programs,8.39,8.99,92,29742.6,Online,89.29
10,Beta Distributors,Africa,Bridgestone e6 Straight Distance NFL Tennesse,Tennis & Racquet,39184,449165.13,19.41,64,SEO,Discounts,1.59,4.03,76,41702.81,Online,97.74
33,Omega Store,Africa,Children's heaters,Basketball,29344,478502.57,16.65,88,PPC,Loyalty Programs,9.55,4.58,82,12645.09,Online,73.53
33,Global Market,LATAM,Nike Men's Free 5.0+ Running Shoe,Women's Golf Clubs,15363,254200.0,18.73,62,Social Media,Discounts,3.47,8.83,87,37279.14,Physical,82.48
34,Epsilon Traders,Africa,Garmin Approach S3 Golf GPS Watch,Lacrosse,31812,401387.39,15.58,55,Content Marketing,Loyalty Programs,1.74,1.17,68,38983.15,Hybrid,92.27
21,Premier Traders,Europe,ENO Atlas Hammock Straps,Books ,17995,109176.86,6.46,80,Social Media,,3.13,5.17,88,39965.84,Physical,72.58
2,Gamma Retailers,USCA,Fighting video games,Cameras ,29595,110317.48,19.96,57,Social Media,Loyalty Programs,6.72,0.4,99,35765.38,Hybrid,84.37
44,Delta Retailers,USCA,Team Golf Tennessee Volunteers Putter Grip,DVDs,21472,333274.9,20.53,53,Email Marketing,Loyalty Programs,4.65,5.59,97,21553.32,Physical,70.22
25,Gamma Market,LATAM,Hirzl Women's Soffft Flex Golf Glove,Pet Supplies,42006,151468.12,10.98,65,Affiliate,Bundle Offers,3.77,9.36,74,34560.07,Hybrid,73.33
13,Gamma Market,Pacific Asia,Team Golf Tennessee Volunteers Putter Grip,Girls' Apparel,14319,109105.05,14.75,59,Social Media,Discounts,6.42,4.06,85,36932.53,Physical,91.0
35,United Shop,LATAM,Nike Women's Free 5.0 TR FIT PRT 4 Training S,Strength Training,38323,108795.94,13.17,59,Affiliate,Bundle Offers,3.44,9.74,64,34989.5,Physical,94.03
5,Epsilon Shop,Europe,Bridgestone e6 Straight Distance NFL Tennesse,Hockey,3302,412403.82,20.86,61,Content Marketing,Loyalty Programs,7.87,1.65,77,13569.0,Physical,78.49
36,Epsilon Traders,Pacific Asia,Adult dog supplies,Music,46183,119138.75,14.2,72,PPC,Bundle Offers,3.26,4.7,84,15389.01,Hybrid,70.72
9,Elite Store,Europe,Nike Men's Comfort 2 Slide,Boxing & MMA,32566,110004.93,9.92,99,Affiliate,Discounts,8.95,1.52,50,5500.32,Physical,98.92
2,Alpha Shop,Pacific Asia,Hirzl Men's Hybrid Golf Glove,Books ,34358,224981.21,22.39,63,PPC,,6.09,9.57,53,9936.76,Hybrid,99.09
43,Gamma Shop,Pacific Asia,Top Flite Women's 2014 XL Hybrid,Shop By Sport,35302,457129.31,15.04,57,SEO,,3.46,2.59,52,26685.42,Hybrid,97.65
3,Premier Shop,LATAM,Glove It Women's Imperial Golf Glove,Shop By Sport,5806,479493.38,15.53,95,PPC,Flash Sales,6.48,9.77,82,9466.47,Online,92.62
30,Elite Retailers,LATAM,Polar Loop Activity Tracker,Kids' Golf Clubs,10338,209268.57,21.64,93,Email Marketing,,4.36,8.72,65,45959.41,Physical,99.67
7,Elite Retailers,Pacific Asia,Nike Kids' Grade School KD VI Basketball Shoe,Golf Apparel,33200,189054.72,14.07,77,Content Marketing,Bundle Offers,7.82,2.84,87,7877.29,Hybrid,77.13
28,United Market,Africa,Bridgestone e6 Straight Distance NFL Carolina,Accessories,23464,472320.11,21.89,89,Social Media,Flash Sales,1.04,6.09,68,10446.49,Online,76.79
44,Premier Retailers,LATAM,Titleist Club Glove Travel Cover,Men's Clothing,21858,363475.9,20.05,55,Email Marketing,Bundle Offers,2.78,9.7,75,45460.64,Physical,99.78
7,Omega Store,USCA,Polar FT4 Heart Rate Monitor,Women's Golf Clubs,6481,81687.71,11.09,65,Content Marketing,Discounts,6.63,4.46,65,45133.54,Physical,88.9
31,Beta Store,Europe,Clicgear 8.0 Shoe Brush,Consumer Electronics,15064,63630.99,19.65,60,Email Marketing,Bundle Offers,8.96,7.8,75,27366.48,Hybrid,81.49
44,Premier Store,Europe,Smart watch ,Tennis & Racquet,35026,59919.71,12.73,54,Social Media,Bundle Offers,2.6,1.23,60,46574.22,Online,86.21
34,Beta Traders,LATAM,Under Armour Women's Ignite PIP VI Slide,DVDs,49242,113060.29,14.17,50,Content Marketing,Flash Sales,3.65,2.1,61,17619.14,Physical,96.1
17,Premier Distributors,USCA,Under Armour Kids' Mercenary Slide,Lacrosse,46485,137614.6,22.89,95,Affiliate,Discounts,4.34,2.24,96,43066.72,Hybrid,83.88
29,Alpha Traders,Africa,Garmin Forerunner 910XT GPS Watch,Girls' Apparel,47985,329066.68,16.28,74,SEO,Loyalty Programs,4.63,8.76,76,34708.68,Online,71.62
19,Delta Market,Pacific Asia,Under Armour Men's Compression EV SL Slide,Cameras ,46766,144217.51,19.22,67,Content Marketing,Flash Sales,2.22,2.29,81,38538.03,Online,81.19
7,Omega Outlet,Africa,Bridgestone e6 Straight Distance NFL San Dieg,Golf Shoes,30758,204381.48,20.85,92,Email Marketing,Flash Sales,2.58,5.86,69,22950.85,Online,89.27
45,Omega Shop,LATAM,Nike Men's Fingertrap Max Training Shoe,Fishing,7993,327440.81,13.86,88,Content Marketing,Loyalty Programs,1.2,8.22,63,30474.66,Physical,74.74
44,Elite Retailers,USCA,Garmin Forerunner 910XT GPS Watch,Cardio Equipment,23235,281303.5,6.56,99,Social Media,Flash Sales,6.23,5.09,86,24849.2,Physical,90.98
11,Epsilon Market,Pacific Asia,Merrell Women's Siren Mid Waterproof Hiking B,Girls' Apparel,42232,447598.15,18.65,78,PPC,Loyalty Programs,6.5,8.91,60,17485.23,Online,98.13
22,Beta Outlet,LATAM,Porcelain crafts,Golf Balls,5598,498520.83,21.83,58,Affiliate,Discounts,1.1,5.55,80,9030.41,Online,91.19
12,Premier Store,Pacific Asia,Titleist Club Glove Travel Cover,Strength Training,36370,473016.65,18.63,58,SEO,Loyalty Programs,6.51,5.16,65,26860.52,Hybrid,73.23
5,Gamma Distributors,Pacific Asia,Ogio Race Golf Shoes,Hunting & Shooting,42799,327067.71,11.88,89,Content Marketing,Loyalty Programs,3.27,1.23,65,10043.04,Hybrid,98.76
1,United Store,LATAM,Nike Women's Tempo Shorts,Toys,9774,169422.28,16.33,55,Email Marketing,,4.88,0.69,50,45109.74,Physical,88.89
8,Omega Store,LATAM,TaylorMade White Smoke IN-12 Putter,Hockey,28114,320586.33,12.35,63,SEO,Loyalty Programs,6.76,5.42,58,17875.02,Hybrid,94.46
10,Epsilon Store,Pacific Asia,TaylorMade Women's RBZ SL Rescue,DVDs,12807,353301.6,7.06,73,Affiliate,Discounts,2.51,5.49,57,28970.14,Physical,80.89
2,Global Market,Africa,Diamondback Boys' Insight 24 Performance Hybr,Men's Clothing,45156,136140.45,19.46,76,SEO,Bundle Offers,6.1,1.87,89,28209.89,Hybrid,81.07
24,Delta Retailers,Africa,Clicgear 8.0 Shoe Brush,Health and Beauty,2301,319915.25,13.9,98,PPC,Bundle Offers,5.55,6.18,92,33672.97,Hybrid,91.4
11,Premier Retailers,Africa,Clicgear Rovic Cooler Bag,Trade-In,18791,243609.19,20.4,83,Social Media,Flash Sales,3.54,5.95,52,47591.6,Online,92.04
34,Alpha Shop,LATAM,Titleist Pro V1 High Numbers Personalized Gol,Trade-In,35754,446931.53,6.28,60,Email Marketing,Discounts,4.68,0.85,74,19193.4,Online,74.21
31,Delta Store,USCA,Glove It Imperial Golf Towel,Hockey,1816,141215.64,10.0,80,Social Media,Loyalty Programs,9.39,9.82,79,49175.65,Hybrid,87.4
5,United Market,Europe,Team Golf Texas Longhorns Putter Grip,Baseball & Softball,21065,272903.55,14.6,64,Affiliate,,9.2,6.76,62,35419.77,Online,85.61
30,Elite Shop,Europe,Hirzl Women's Hybrid Golf Glove,Consumer Electronics,8954,324093.33,21.17,83,SEO,Discounts,4.3,9.72,71,20858.4,Physical,84.74
6,Epsilon Market,USCA,Nike Men's Dri-FIT Victory Golf Polo,Trade-In,37020,328353.09,9.36,71,Social Media,Bundle Offers,7.86,6.06,79,30234.5,Physical,73.21
38,Elite Mart,LATAM,First aid kit,Water Sports,48850,295820.97,20.82,91,PPC,Bundle Offers,3.83,7.36,51,13856.74,Hybrid,91.18
30,Delta Traders,LATAM,Cleveland Golf Collegiate My Custom Wedge 588,Fitness Accessories,45853,137965.3,15.4,77,Social Media,Discounts,5.7,7.5,90,27226.79,Online,96.93
42,Gamma Store,Africa,Baby sweater,Men's Footwear,6369,369125.84,21.9,51,Social Media,Discounts,9.95,0.12,78,27004.1,Online,70.16
10,Global Mart,Pacific Asia,Merrell Women's Siren Mid Waterproof Hiking B,Men's Clothing,2334,78227.52,23.87,52,SEO,Loyalty Programs,9.07,0.82,55,37556.65,Online,88.95
50,Premier Traders,Africa,Glove It Women's Imperial Golf Glove,Golf Balls,20245,138712.59,8.07,97,Content Marketing,Bundle Offers,1.67,3.65,73,36586.27,Hybrid,86.19
40,Beta Mart,Africa,Nike Men's Kobe IX Elite Low Basketball Shoe,Music,8316,406982.68,6.41,99,SEO,Loyalty Programs,5.87,2.51,65,8162.46,Physical,95.23
3,Elite Mart,Europe,Nike Dri-FIT Crew Sock 6 Pack,Tennis & Racquet,43412,161045.59,11.62,63,Affiliate,Loyalty Programs,8.38,7.4,67,44180.1,Online,73.4
42,Delta Distributors,Pacific Asia,Nike Men's Free 5.0+ Running Shoe,Accessories,5146,369941.79,15.95,78,SEO,Discounts,9.34,1.48,59,28662.5,Online,83.7
39,Premier Outlet,Europe,Bag Boy Beverage Holder,Girls' Apparel,35086,418848.54,21.23,69,Email Marketing,Flash Sales,2.85,6.85,100,26626.97,Hybrid,89.79
6,Global Outlet,Pacific Asia,Nike Men's Fingertrap Max Training Shoe,DVDs,7531,223139.56,9.62,60,Social Media,Loyalty Programs,1.72,1.77,96,24671.55,Online,94.71
35,Beta Mart,LATAM,Under Armour Women's Micro G Skulpt Running S,Hockey,6159,89810.49,5.76,67,PPC,,5.56,2.89,76,47988.72,Online,71.09
35,Alpha Retailers,Europe,Smart watch ,Golf Gloves,30525,102750.88,22.38,67,PPC,Flash Sales,1.7,2.26,95,45188.39,Hybrid,75.05
13,United Mart,Africa,SOLE E35 Elliptical,Golf Gloves,37873,72956.39,12.48,50,PPC,Loyalty Programs,4.78,0.07,95,33293.06,Hybrid,92.33
